video,video_frame,global_frame,track_id,logical_track_id,cls_id,class_name,detected_cls_id,voted_cls_id,direction,delta,count_after,center_x,center_y,conf,stitched,stitch_gap_frames,event_reason,occupancy_token_id,recovered_from_logical_id,recovery_score,recovery_track_class_id,recovery_class_match
08-41-24.mp4,98341,98341,11447,1976,0,Bactrocera correcta,0,0,enter,1,13,1055.15,761.9,0.7734,0,0,tracked_enter,89,,,,
08-41-24.mp4,98360,98360,11447,1976,0,Bactrocera correcta,0,0,exit,-1,12,1027.82,780.03,0.8481,0,0,tracked_exit,89,1976,,,
08-41-24.mp4,98389,98389,11447,1976,0,Bactrocera correcta,0,0,enter,1,13,1056.22,764.92,0.8311,0,0,tracked_enter,90,,,,
08-41-24.mp4,98509,98509,11481,1983,0,Bactrocera correcta,0,0,exit,-1,12,1072.81,850.05,0.8389,0,0,recovered_exit,90,1976,0.8608245617286929,0,1
08-41-24.mp4,98624,98624,11481,1983,0,Bactrocera correcta,0,0,enter,1,13,1101.39,830.68,0.8521,0,0,tracked_enter,91,,,,
08-41-24.mp4,101224,101224,11372,1962,0,Bactrocera correcta,0,0,enter,1,14,1090.63,819.01,0.814,0,0,tracked_enter,92,,,,
08-41-24.mp4,101811,101811,11795,2050,1,Bactrocera dorsalis,1,1,enter,1,16,1052.24,708.57,0.8623,0,0,tracked_enter,93,,,,
08-41-24.mp4,103519,103519,11773,2044,1,Bactrocera dorsalis,1,1,enter,1,17,1316.46,733.73,0.8975,0,0,tracked_enter,94,,,,
08-41-24.mp4,105748,105748,12361,2157,1,Bactrocera dorsalis,1,1,enter,1,18,1056.88,679.56,0.8354,0,0,tracked_enter,95,,,,
08-41-24.mp4,106624,106624,12427,2174,0,Bactrocera correcta,0,0,enter,1,15,1233.42,599.08,0.874,0,0,tracked_enter,96,,,,
08-41-24.mp4,106631,106631,12434,2178,1,Bactrocera dorsalis,1,1,exit,-1,17,1253.16,877.64,0.854,0,0,recovered_exit,66,1514,0.9554374309572204,1,1
08-41-24.mp4,106691,106691,12434,2178,1,Bactrocera dorsalis,1,1,enter,1,18,1171.86,857.42,0.8438,0,0,tracked_enter,97,,,,
08-41-24.mp4,109225,109225,12930,2124,0,Bactrocera correcta,0,0,enter,1,16,1291.14,736.38,0.7124,1,2,tracked_enter,98,,,,
08-41-24.mp4,113059,113059,13231,2283,0,Bactrocera correcta,0,0,exit,-1,15,1332.06,650.98,0.8706,0,0,recovered_exit,98,2124,0.9484781698327525,0,1
08-41-24.mp4,113243,113243,13231,2283,0,Bactrocera correcta,0,0,enter,1,16,1229.24,597.29,0.8916,0,0,tracked_enter,99,,,,
08-41-24.mp4,115018,115018,13390,2312,0,Bactrocera correcta,0,0,enter,1,17,1257.04,613.2,0.8726,1,1,tracked_enter,100,,,,
08-41-24.mp4,115054,115054,13390,2312,0,Bactrocera correcta,0,0,exit,-1,16,1260.45,575.35,0.8901,1,1,tracked_exit,100,2312,,,
08-41-24.mp4,115410,115410,13480,2319,1,Bactrocera dorsalis,1,1,enter,1,19,1178.28,592.31,0.854,0,0,tracked_enter,101,,,,
08-41-24.mp4,115463,115463,13480,2319,1,Bactrocera dorsalis,0,1,exit,-1,18,1092.09,572.36,0.709,0,0,tracked_exit,101,2319,,,
